Gene
Egr1
Nr4a1
Lef1
Egr2
Ikzf1
Hivep3
Gtf3a
Tcf7
Nfatc1
Bach2
Pa2g4
Nr4a3
Ets1
Satb1
Bcl6
Gata3
Runx1
Sox4
Crem
Tsc22d1
Tox
Drap1
Zbtb7b
Id2
Runx3
Klf2
Stat1
Jund
Irf9
Klf13
Foxo1
Irf1
Foxp1
Sp110
Irf7
Mxd4
Stat4
Sp100
Ikzf3
Ctcf
Pou2f2
Mier1
Klf3
Rora
Arid5a
Zbtb7a
Nfat5
Nfatc3
Smad7
Tcf3
Tcf12
Themis
Id3
Cd3g
Cd3d
Cd3e
Ccr9
Ccr7
Cd24a
Il7r
Mapk1
Erk2
Mapk3
Erk1
