Gene
AAK1
ABLIM1
AC133644.2
ACOT7
ACTN1
ADD3
AEBP1
AIF1
ANAPC15
ANKRD44
ANXA6
AQP3
AQP3
ARPP21
ATF1
BACH2
BANF1
BATF
BCL10
BCL2
BCL6
BIRC3
Armh1
Armh1
C6orf48
CACNA1E
CACNB1
CACNB3
CAMK4
CARD11
CARD16
CCND2
CCR5
CCR7
CCR9
CCT2
Cd1d1
Cd1d2
CD1E
CD247
CD27
CD38
CD40LG
CD52
CD7
CD8A
CD8B1
CHI3L2
CHRNA3
CLCN2
CLEC2D
COTL1
CREM
CTCF
CTLA4
CTSL
CUX1
CYLD
CYTIP
DENND2D
DGKA
DHRS3
Tcf3
E2f1
E2F7
E2F8
EGR2
EGR3
ELK1
ELK3
ELK4
ELOVL4
EPHB6
EPSTI1
ETS1
Etv1
FLI1
FOS
FOXO1
FOXP1
FOXP3
FXYD5
FYB
GATA3
GBP2
GIMAP7
GNG8
GZMM
H1FX
HBP1
HES1
HIVEP3
HNRNPR
ICOS
Id1
ID2
ID3
IFITM1
IFITM2
Ikzf1
IKBKG
Chuk
Ikbkb
Ikzf2
IL27RA
IL2RA
IL32
IL7R
ITGAE
ITM2A
KCNA2
KCNA3
KCNH2
KCNH3
KLF2
KLF2
LAT
LCP2
LEF1
LINC00152
LMO2
LRRN3
LTB
LYST
MAD1L1
MAF
MAGEH1
MALT1
MGA
MGA
MIR4435-2HG
MORC3
Mtf1
MYB
NDFIP1
NDUFV2
NFATC1
NFATC2
NFATC3
NFKB1
NREP
NUDC
ODF2L
ORAI1
ORAI2
ORAI3
PATZ1
PDE3B
PECAM1
PHB
PIEZO1
PIK3IP1
PIM2
PITPNM2
Pknox1
PMAIP1
POLR2J3
POU2F1
PTCRA
Raf1
RAG1
RAG2
Kras
REL
RGS1
RGS2
RORC
RP11-144L1.4
RP11-291B21.2
RP11-620J15.3
RPL17
RPS4Y1
RREB1
RTKN2
RUNX1
S100A4
S100B
SAMD3
SATB1
SCML1
SCN2B
SCN4B
SCN5A
SELL
SERPINE2
SH2D1A
SH3TC1
SIT1
Smad1
SMAD3
SMAD4
SMC2
SMPD3
SMS
SOX4
SP4
SPIB
SPIC
SRF
STAG3
Stat5a
Stat5b
STIM1
STIM2
STK17A
TAGAP
TBX
TBX21
TCF12
TCF3
TCF7
THEMIS
THOC7
TIGIT
TNFRSF14
TNFRSF18
TNFRSF1B
TNFRSF4
TOX2
TRAC
TTK
UBE2F
UHRF1
VASP
