Gene
Cd69
Nr4a3
Nr4a1
Cd5
Tagap
Egr1
Egr2
Spry1
Nr4a2
Nab2
Cd6
Ccr4
Bcl2l11
Trib1
Itm2a
Hivep3
Plk3
Tigit
Irf4
Per1
Cd2
Sik1
Mapre2
Chsy1
Gramd1b
Gadd45b
Btla
Nfkbid
Nifb1
Lcp1
Myc
Gem
Dennd4a
Arap2
Asns
Srm
Rel
Ikzf2
Nab1
Fosb
Nfkb2
Sh3bp2
P2ry14
Atp2b1
Arid5b
Tox
Slc7a5
Kdm2b
Pdcd1
Fosl2
