,,,,,,,,,,,,,
,,,,,,,,Home,Browse,FAQs,Immune Signaling Pathways,Cancer Signaling Pathways,Publications
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TCR Signaling Pathway, Accession number : NetPath_11,,,,,,,,,,,
,"The T cell receptor complex includes the ligand binding TCR alpha and TCR beta chains, along with CD3 gamma, delta, epsilon and zeta subunits. This receptor complex is stimulated by antigen peptides presented by the Major Histocompatibility Complex proteins present on T cells and antigen presenting cells. Stimulation of the T cell receptor leads to the activation of NFkB and NFAT signaling modules which play a key role in T cell receptor signaling.",  Transcriptional Gene Regulation Statistics,,,,,,,,,,,
,, Upregulated genes,  449,,,,,,,,,,
,Please cite the following reference for this pathway:, Downregulated genes,  178,,,,,,,,,,
,,,,,,,,,,,,,
,"Kandasamy, K. and Mohan, SS. et al.(2010) NetPath: A public resource of curated signal transduction pathways. Genome Biology. 11:R3.[PubMed]",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,  Transcriptionally regulated genes by TCR pathway (Total = 627),,,,,,,,,,,,
,  Transcriptionally Upregulated Genes,,,,,,,,,,,,
,Gene Symbol,Experiment type,,Experiment system,PubMed,Transcription regulators,Regulator type,,,,,,
,NFKBIA,Non-Microarray; Microarray,,,,,,,,,,,
,STRN3,Microarray,,,,,,,,,,,
,GNL2,Microarray,,,,,,,,,,,
,CNIH4,Microarray,,,,,,,,,,,
,MCTS1,Microarray,,,,,,,,,,,
,KLHL20,Microarray,,,,,,,,,,,
,AIPL1,Microarray,,,,,,,,,,,
,TNFAIP8,Microarray,,,,,,,,,,,
,GTPBP4,Microarray,,,,,,,,,,,
,CRB1,Microarray,,,,,,,,,,,
,RPL13A,Microarray,,,,,,,,,,,
,KIAA0367,Microarray,,,,,,,,,,,
,MAPRE1,Microarray,,,,,,,,,,,
,XRN2,Microarray,,,,,,,,,,,
,MMRN1,Microarray,,,,,,,,,,,
,TREX1,Microarray,,,,,,,,,,,
,LYPLA2,Microarray,,,,,,,,,,,
,MRPL3,Microarray,,,,,,,,,,,
,TRIM31,Microarray,,,,,,,,,,,
,IL1RAPL1,Microarray,,,,,,,,,,,
,PIM2,Microarray,,,,,,,,,,,
,PNRC1,Microarray,,,,,,,,,,,
,TLK2,Microarray,,,,,,,,,,,
,SEC61B,Microarray,,,,,,,,,,,
,FUSIP1,Microarray,,,,,,,,,,,
,IQGAP2,Microarray,,,,,,,,,,,
,RRAGA,Microarray,,,,,,,,,,,
,AHCYL1,Microarray,,,,,,,,,,,
,PRDX4,Microarray,,,,,,,,,,,
,TBL3,Microarray,,,,,,,,,,,
,SEMA4D,Microarray,,,,,,,,,,,
,HAX1,Microarray,,,,,,,,,,,
,ZNF238,Microarray,,,,,,,,,,,
,CD2BP2,Microarray,,,,,,,,,,,
,IFITM3,Microarray,,,,,,,,,,,
,MSLN,Microarray,,,,,,,,,,,
,PBEF1,Microarray,,,,,,,,,,,
,ACTR3,Microarray,,,,,,,,,,,
,HUWE1,Microarray,,,,,,,,,,,
,ABI1,Microarray,,,,,,,,,,,
,KIAA0020,Microarray,,,,,,,,,,,
,BZW1,Microarray,,,,,,,,,,,
,KIAA0247,Microarray,,,,,,,,,,,
,GABBR2,Microarray,,,,,,,,,,,
,IER2,Microarray,,,,,,,,,,,
,H2AFY,Microarray,,,,,,,,,,,
,PTGES,Microarray,,,,,,,,,,,
,RPL23,Microarray,,,,,,,,,,,
,PSMF1,Microarray,,,,,,,,,,,
,CNOT8,Microarray,,,,,,,,,,,
,PCSK7,Microarray,,,,,,,,,,,
,KCNAB3,Microarray,,,,,,,,,,,
,RPL14,Microarray,,,,,,,,,,,
,CH25H,Microarray,,,,,,,,,,,
,ALKBH,Microarray,,,,,,,,,,,
,TAF1C,Microarray,,,,,,,,,,,
,TNFRSF10B,Microarray,,,,,,,,,,,
,HIST2H2AA,Microarray,,,,,,,,,,,
,DYNLL1,Microarray,,,,,,,,,,,
,SLC39A7,Microarray,,,,,,,,,,,
,TFPI2,Microarray,,,,,,,,,,,
,MAPKAPK3,Microarray,,,,,,,,,,,
,ZNF198,Microarray,,,,,,,,,,,
,IFRD2,Microarray,,,,,,,,,,,
,ZNF161,Microarray,,,,,,,,,,,
,YY1,Microarray,,,,,,,,,,,
,ZNF9,Microarray,,,,,,,,,,,
,VDAC1,Microarray,,,,,,,,,,,
,UBE2A,Microarray,,,,,,,,,,,
,VBP1,Microarray,,,,,,,,,,,
,TOP2A,Microarray,,,,,,,,,,,
,TSTA3,Microarray,,,,,,,,,,,
,TGFB2,Microarray,,,,,,,,,,,
,TFCP2,Microarray,,,,,,,,,,,
,TCEB1,Microarray,,,,,,,,,,,
,TFAM,Microarray,,,,,,,,,,,
,TAP1,Microarray,,,,"NFKB1, RELA, SP1",Transcription factor,,,,,,
,ST14,Microarray,,,,,,,,,,,
,TAF9,Microarray,,,,,,,,,,,
,SSB,Microarray,,,,,,,,,,,
,SOD1,Microarray,,,,,,,,,,,
,SPN,Microarray,,,,,,,,,,,
,SOAT1,Microarray,,,,,,,,,,,
,SNRPB,Microarray,,,,,,,,,,,
,SNRPC,Microarray,,,,,,,,,,,
,SLC5A3,Microarray,,,,,,,,,,,
,SMARCA4,Microarray,,,,,,,,,,,
,ITSN1,Microarray,,,,,,,,,,,
,CCL5,Microarray,,,,"NFAT, NFKB1",Transcription factor,,,,,,
,SATB1,Microarray,,,,,,,,,,,
